Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",0603,2,4.7u,
"C12, C15, C16, C2, C3, C4, C5",0402,7,100n,
"C13, C14",0603,2,1u,
"C17, C18",0402,2,4.7n,
"D1, D3",0603,2,RED,
D2,D_SMA,1,SMAJ5.0A,
"D4, D7",D_SOD-882,2,PESD5V0L1UL,
"D5, D6",SOT-23,2,PESD1CAN,
D8,0603,1,BLUE,
F1,0805,1,BSMD0805-050-24V,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,
"J3, J4",CONN_JST_SM04B-PASS,2,SM04B-PASS-TBT,
"Q1, Q2, Q3, Q4",SOT-23,4,SI2302,
"R10, R11, R12, R9",0805,4,60.4,
"R13, R14",0402,2,10k,
"R15, R16",0402,2,1k,
"R17, R3, R4",0402,3,2.2k,
"R18, R7, R8",0402,3,0,
"R5, R6",0402,2,5.1k,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G0B1KBT6,
U2,SOT-23-5,1,MCP1802T-3302I/OT,
U3,SOT-323_SC-70,1,TPD2E2U06DCK,
U4,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,1,TCAN1048AVDMTRQ1,
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASEM1-24.000MHZ-LC-T,
